0,13,0,JAC _CHAIRMAN
0,15,0,JAC_DELHI
4,13,0,TW2GF1
4,15,0,TW2GF2
3,24,0,LW3GF5
9,4,0,LW2GF5
9,24,0,LW3GF5
18,12,0,ECE_OFFICE
19,16,0,HOD_IT(IT_SEMINAR)
20,12,0,HOD_ECE
21,4,0,LW2GF2
21,24,0,LW3GF2
26,24,0,LW3GF1
1,14,1,SECRET_SPOT
9,4,1,LW2SF4
9,24,1,LW3SF3
14,4,1,LW2SF3
14,24,1,LW3SF4
18,11,1,FW2SF15
20,9,1,FW2SF13
20,10,1,FW2SF14
20,21,1,FW2SF2(IS_LAB)
22,5,1,FACULTY_BLOCK_1
22,7,1,FW2SF12
22,8,1,FW2SF11
22,9,1,FW2SF10
22,10,1,FW2SF9
22,12,1,FW2SF9
22,13,1,FW2SF8
22,16,1,FW2SF7
22,18,1,FW2SF6
22,19,1,FW2SF5
22,20,1,FW2SF4
22,21,1,FW2SF3
22,23,1,FACULTY_BLOCK_2
